city,speciality
BEJAIA,généraliste
BISKRA,généraliste
BLIDA,généraliste
--...,généraliste
BEJAIA,généraliste
"",généraliste
OUARGLA+,généraliste
MILA,généraliste
SETIF,généraliste
"",généraliste
BLIDA,généraliste
BOUIRA,généraliste
ALGER---/----,généraliste
ALGER,généraliste
LAGHOUAT,généraliste
SKIKDA,généraliste
ANNABA,généraliste
TLEMCEN,généraliste
BOUMERDES,généraliste
TIARET,généraliste
BOUMERDES,généraliste
BLIDA,généraliste
ALGER...,généraliste
MILA,généraliste
CONSTANTINE,généraliste
"",généraliste
//,généraliste
"",généraliste
BLIDA,généraliste
M'SILA,généraliste
ABBES,généraliste
TIPAZA,généraliste
MOSTAGANEM,généraliste
BOUAGHI,généraliste
ORAN,généraliste
"",généraliste
BOUIRA,généraliste
M'SILA,généraliste
ALGER,généraliste
ALGER,généraliste
ORAN,généraliste
SETIF,généraliste
"",généraliste
"",généraliste
TEBESSA,généraliste
OUZOU,généraliste
CHLEF,généraliste
OUZOU,généraliste
OUZOU,généraliste
BEJAIA,généraliste
ALGER,généraliste
ALGER,généraliste
SAIDA,généraliste
ORAN+,généraliste
